Ingrediet Name,Ingredient Parent Name
Broken cashewnuts  soaked in water,Cashewnuts
Fresh parsley Chopped,Parsley
Chicken legs with bone,Leg
Bottle Gourd peeled and grated,Gourd
red bell pepper roasted and peeled,Roasted
Dried shiitake mushrooms soaked in hot water,Mushroom
Filtered mustard oil (sarson ka tel),Tel
Coconut freshly scraped,Scraped
Spaghetti cooked,Cooked
Vaal ki dal soaked,Soaked
Baby potatoes parboiled and peeled,Parboiled
Peanuts masala,Masala
"Red pumpkin peeled, cut into chunks and cooked",Peeled
Sugar granulated,Granulated
Farfalle pasta boiled,Boiled
Coffee concoction,Concoction
Chicken  cut into big pieces on the bone,Chicken
Smoked paprika,Smoked
Button mushroom slices,Slice
"Ripe mangoes peeled, deseeded and cut into cubes",Deed
Whole black gram (sabut urad) soaked for 6-8 hours and drained,Soaked
Green chillies halved and slit,Halved
Soya bean flour,Flour
Black Bengal Gram soaked overnight and boiled with salt,Soaked
Oil 1 tablespoon  +,Tablespoon
Scraped coconut ½ cup + for garnish,Scraped
Olive oil A few drops +,Drop
Kiwi peeled and roughly chopped,Peeled
A dollop of butter,Dollop
King fish darnes,Darnes
Ash gourd (petha) peeled and cut into 1 inch thick strips,Peeled
Soya Nuggets soaked for 1 hour and squeezed,Nugget
Watermelon balls,Ball
Chicken Breasts cut into thin long pieces,Breast
Scoops of vanilla ice cream for serving,Scoop
Saffron  a large pinch off,Saffron
Chocolate discs to gar,Disc
Madras onions peeled and halved,Peeled
Almond powder (120 grams),Almond
Capsicum cut into roundels,Capsicum
Sweet chilli sauce for drizzling,Sauce
Buttermilk dissolved in water,Dissolved
Readymade hakka noodles,Noodle
Medium onions chopepd,Chopepd
Puffed lotus seeds (makhanas),Lotus
Soya bean paste,Paste
Lotus Stems washed thoroughly,Washed
Lotus stems (bhen/bhee) sliced diagonally,Sliced
Sunflower oil,Oil
Eggplants/ brinjals halved lengthwise,Halved
Raw bananas peeled and chopped,Peeled
Large green capsicum cut into thin strips,Capsicum
cashewnut biscuits crushed,Crushed
Black peppercons crushed,Crushed
Paneer (cottage cheese) diced,Diced
Medium onions grated,Grated
Deep-fried onions,Onion
Whole dry red chillies soaked,Soaked
Fresh arugula leaves,Arugula
Boneless fish fillets cut into 1 inch pieces,Fillet
Cottage Cheese fresh crumbled,Crumbled
For hara masala,For
Hard boiled eggs and peeled,Egg
Salt to taste + to sprinkle,Taste
Chicken on Bone cut into 10-12 pieces on the bone,Chicken
Rawas fish darnes,Darnes
"Split Bengal gram (chana dal), soaked for 4 hours and drained",Split
Coffee decoction black,Black
Fresh coriander and fresh mint leaves chopped,Coriander
Blended sesame oil,Oil
Seasame ol,Ol
A few dried rose petals,Petal
Red chilli flakes 1/2 teaspoon,Teaspoon
Red pumpkin (kaddu)  cut into cubes and boiled,Kaddu
Juice of 1 lemon + for drizzling,Juice
Watermelon seedless chunks,Chunk
Sliced pistachios for sprinkling,Sliced
A little fresh thyme,Thyme
Fresh coriander sprigs q,Sprig
Medium onion cut into rings,Onion
Coarsely grated ginger,Ginger
Fresh Basil leaves 10-12 + a few to garnish,Basil
Split pigeon peas (tuvar dsl),Dsl
Dalia soaked overnight,Soaked
Sugar (2 cups sugar cooked with 2 cups water till 1 stri,Sugar
"Raw mango peeled, finely chopped",Peeled
Slivered almonds blanched & peeled,Peeled
Pistachios  blanched peeled and sliced,Peeled
Mackerels (Bangda) cut into 4 pieces each,Bangda
Egg (room temperature),Temperature
Vegetable soup,Soup
Cottage cheese (paneer) thick strips,Strip
Cheddar Cheese grated,Grated
pistachios chopped,Pistachio 
Kabab chini,Chini
Green chilies finely chopped,Chilies
Bread slices sour dough,Slice
Mixed capsicums cut into triangles,Capsicum
green chilli  to serve,Chilli
Ciabatta bread sliced,Sliced
Tender ginger,Ginger
Kanda lasun masala,Masala
"Sweet potato boiled, peeled and cut into small cubes",Potato
Oyster sauce 2-3 teaspoons,Teaspoon
"Basmati rice soaked,",Soaked
Onion cut into roundels and rings separated,Separated
Drumstick leaves  blanched and drained,Drumstick
Red capsicum julienne,Julienne
Pumpkin cubed,Cubed
Onions	 sliced,Sliced
Onion minced,Minced
Potatoes cut into 1 inch pieces,Potato
Rice  soaked and drained,Soaked
"Chicken on the bone cut into pieces,",Chicken
Turmeric powder chopped,Turmeric  
Beetroot juice fresh,Fresh
Chicken On Bone cut into small pieces on the bone,Chicken
Medium onions quartered and layers separated,Separated
Medium sweet potatoes (shakarkand) peeled and cut into cubes,Peeled
Light soy sauce 2 teaspoons + 3,Teaspoon
Orange juice ½ cup +,Juice
Large onion cut into 1 inch cubes and layers separated,Separated
Jain Schezwan sauce,Sauce
Spring onion flowers,Flower
Powdered oats,Oat
For Decoration,For
Prawn heads,Head
Chicken sausages cut into 3 inch pieces and halved,Sausage
Basa Fish Fillets cut into two pieces each,Fillet
"Carrots peeled, boiled and roughly chopped",Peeled
Marshmellows,Marshmellows
"Mackerel fish, cut into halves",Fish
Parmesan cheese grated fine,Fine
Sev for garnish,Sev
Mushrooms Shitake,Shitake
Roasted cashewnuts,Cashewnuts
Extra Virgin Olive Oil,Oil
Chocolate sauce hazelnut flavoured,Flavou
Dry Red Chillies,Dry
Water chestnuts thinly sliced,Sliced
Semolina (rawa or suji),Rawa
Pineapple slices cut into ½ inch cubes,Slice
Sodium alginate,Alginate
Strawberry jelly,Jelly
Onion halved and separated into layers,Halved
Orange cut into segments,Orange
Whole wheat flour (atta) for poori,Flour
Dried Red chillies,Dried
Jawari Flour,Flour
Tempura flour,Flour
Dark chocolate cut into pieces,Chocolate
Boneless fish fillets cut into small pieces,Fillet
Fresh coriander leaves 1 teaspoon +,Coriander
Green chilli choipped,Choipped
Sevaiyan,Sevaiyan
"Morrel soaked, drained well and chopped",Drained
Cumin powder  roasted,Roasted
Ghee at room temperature,Ghee
Mexican sauce,Sauce
Corn Tortillas,Tortilla
Sweet potatoes peeled and cut into a ½ inch cubes,Peeled
Garlic cloves with skin,Clove
Carrots peeled and cuts into cubes,Peeled
Multigrain flour,Flour
"Lettuce leaves Romaine, torn",Torn
Chocolate roughly chopped,Chocolate
Chickpeas (kabuli chane),Chane
Banana chopped,Banana 
Cottage cheese (paneer) cut into 2 inch cubes and slit in the middle witho,Paneer
Fish fillets cut into 2 inch pieces,Fillet
Large ripe mangoes,Mango
Coriander chopped for garnish,Coriander
Saffron (kesar) soaked in 1 tablespoon rose water,Rose
Yellow zucchini cut into dices with skin,Into
Boneless fish cut into cubes and boiled,Fish
Dough made with 2 cups whole wheat flour,Dough
Small green cucumbers peeled and chopped,Peeled
Spring onion greens  finely chopped,Onion
Baking soda a pinch,Baking
Baby potatoes with skin,Potato
Dried red chillies sliced diagonally,Sliced
Basa fish fillets cut into cubes,Fillet
Fennel seeds (saunf) soaked,Soaked
"Red Capsicum, Yellow Capsicum finely chopped",Capsicum
Boneless bhetki fish fillets  cut into 1 inch pieces,Fillet
"Fish Fillets boneless, cut into 3 inch pieces",Boneless
Raw Banana peeled and cut into ½ inch cubes,Peeled
Cabbage Chinese,Chinese
Semolina 1 cup +,Semolina 
Tomato seeded and cut into 1 inch pieces,Ed
Ginger  cut into thin strips + for garnish,Ginger
Fresh coconut  cut into thin slices,Coconut
Garlic clovesq sliced,Sliced
Desiccated cocontu,Cocontu
Fresh red chillies cut into strips,Chilli
Fresh spinach leaves (palak) stems trimmed,Trimmed
Tomatoes puréed,Puréed
Carrots halved,Halved
Purple cabbage,Cabbage
Lotus Root,Root
Oil for shallow-frying + to grease,Oil
Dry coconut grated,Grated
"Tomato halved, seeded and diced",Halved
Seedless black dates finely chopped,Date
Peppermint essence few,Few
Salmon cut into thick pieces,Salmon
Coffee liqueur,Liqueur
Feta cheese cubes,Cube
"Split green gram skinless (dhuli moong dal),soaked",Dal
Some  thin strips of green chillies for garnish,Strip
Ginger washed and peeled,Washed
Canned Tuna,Tuna
Ginger paste 1 tablespoon +,Paste
"Fresh parsley finely chopped,",Parsley
Guava chopped,Guava 
Mushrooms roughly chopped,Mushroom
Rice soaked for an hour,Soaked
Orange colour edible,Colour
Green capsicum quartered,Quarte
Pomfrets cut into 1 inch thick darnes,Pomfret
Cooked Rice cooked,Cooked
Lotus stems (bhen/bhee) sliced,Sliced
Spring onion greens 1 tablespoon +,Onion
whole wheat flour rotis,Rotis
"Whole dry red chillies,crushed",Crushed
Purple Yam peeled and cut into small cubes,Peeled
Lemon Grass  1 medium bundle,Bundle
Chocolate Icing -,Icing
corn kernels boiled,Boiled
For garnishing:,For
A pinch of all spice powder,P
Colocassia (arbi) peeled and cubed,Peeled
Dry sherry (optional),Optional
Boneless lamb cut into strips,Lamb
Butter 1¼ cups (200 grams) + for greasing,Butter¼
Onion  grated,Grated
Moong dal soaked for 5-6 hours,Soaked
Chanachor garam,Garam
Carrot peeled and diced,Peeled
Medium beetroots  peeled,Peeled
"Bottle gourd (lauki/doodhi) peeled, seeded cut into ½ inch cubes",Peeled
Almonds sliced thinly,Sliced
Split pigeon peas soaked,Soaked
"Potatoes boiled, peeled and cut into ½ inch cubes",Peeled
Hung Yogurt blanched and slivered,Blanched
Cabbage cups,Cabbage 
Freshly crushed black peppercorns,Peppercorn
"Cheese,grated",Grated
Crushed Black Pepper,Pepper
Milk (reduced buffalo),Uced
"Pasta Penne, boiled",Boiled
Grated processed cheese as required,Requi
Charcole pieces,Charcole 
HP sauce,Sauce
Idli batter readymade,Batter
Split pigeon peas (tuvar dal) soaked for 3-4 hours and drained,Split
"Medium carrot peeled, blanched and sliced",Peeled
Fresh green basil leaves,Basil
Pineapple peeled and chopped into small pieces,Peeled
Carrots small cubes,Cube
Bread dough to make one loaf,Dough
"Potato peeled, cut into 1 inch thick strips",Peeled
Pears sliced,Sliced
Long brinjals cubed,Cubed
Onion cubed and layers separated,Separated
Cauliflower small,Cauliflower
Dried red chilli 1 fried,Dried
Spring onion greens stalk chopped,Stalk
Sesame seeds (til) 1 tablespoon +,Til
Green garlic cloves,Clove
Green chillies 1-2 +, chilli
Castor sugar (caster sugar) for coating,Sugar
Cabbage  diced,Diced
Mutton on the bone cut into 1½-inch pieces,Mutton
"Peaches canned, chopped",Canned
Flat Noodles boiled,Boiled
"Green chillies ,slit",Slit
Brinjals roasted and peeled,Roasted
black peppercorns crushed,Crushed
Chopped dates, date
Carrots peeled and cut into 1 inch pieces,Peeled
Brinjal cut into cubes,Brinjal
Butter ¼ cup +,¼
Cocoa powder optional,Cocoa
Carrots parboiled and cut into small dices,Parboiled
Cheese slices cut into 4 pieces,Slice
Spring onion greens	 chopped,Onion
Toppings-,Topping
Brown bread slices toasted,Toasted
Hard Boiled Eggs,Egg
Molagapodi,Molagapodi
For Pesto sauce,For
Brinjal thinly sliced,Sliced
Medium green tomatoes finely chopped,Tomato
Puff pastry douh,Douh
Olive oil ¼ cup + 1 tablespoon + for greasing and grilling,Tablespoon
Refined flour tortillas,Tortilla
Samosapattis,Samosapattis
Small cucumbers peeled and finely chopped,Peeled
Kashmiri dried red chilli paste,Dried
Emmental cheese,Cheese
"Brinjal roasted, peeled and mashed",Peeled
Blueberries 8-10 +,Blueberry
split Bengal gram (chana dal),Split
Orange rind chopped,Rind
"Potatoes medium, boiled and peeled",Medium
"Watermelon juice, put in an ice tray and frozen",Put
Ground almonds,Almond
Fish fillets roughly chopped,Fillet
Vanilla pod fresh,Fresh
crushed peppercorns,Peppercorn
Mustard leaves chopped,Mustard  
Cranberries roughly chopped,Cranberry
blade mace (javitri),Javitri
Butter 1 tablespoon + for drizzling,Tablespoon
Coarse semolina (suji),Suji
Rajma Masala,Masala
Carrot peeled and cut into diamonds,Peeled
Dried pomegranate seeds,Pomegranate
Green capsicum julienne,Julienne
Drumsticks scraped and cut into long pieces,Scraped
Carrot juice  chilled,Chilled
Boneless mutton cut into 1½ -2 inch pieces,Mutton
Subza seeds,Subza 
Scraped Coconut scraped,Scraped
Aloe vera,Vera
Tomatoe chopped,Tomatoe 
Button mushrooms cleaned,Cleaned
Castor sugar (caster sugar) 1 cup,Sugar
Halved cherry tomatoes,Tomato
Corn kernels  boiled and coarsely crushed,Kernel
Coriander chopped,Coriander 
Oil for shallow-frying,Oil
Roasted tomato salsa,Salsa
Low-fat coconut milk,Milk
Green peas	 shelled,Shelled
Pesto toast,Toast
"Ghee (45 grams) melted ghee, at room temperature",Melted
Chicken skinned,Skinned
brown rice crispies,Crispies
Oranges peeled,Peeled
Yellow pepper cut into strips,Pepper
Refined flour (maida) rotis readymade,Readymade
"Tomatoes medium,deseeded and finely chopped",Deed
Ghee 1 tablespoon + ½ teaspoon for greasing,Tablespoon
Cottage Cheese cut into 1/2 inch pieces,Cheese
Rice soaked for 30 minutes and drained,Soaked
Medium red pepper (capsicum),Capsicum
Malvani masala powder,Masala
Fresh parsley sprigqq,Sprigqq
"Dried fenugreek leaves (kasoori methi),crushed",Crushed
Dalia,Dalia
Milk for sealing and wash,Milk
Fresh red chillies thinly sliced,Sliced
Cooked red rice,Cooked
kala khatta syrup,Syrup
fresh coriander leaves + a fresh coriander sprig finely chopped,Coriander
Baby potatoes parboiled and halved without peeling,Parboiled
peach slice,Slice
Garlic-ginger-green chilli paste,Paste
Olive oil 4 tablespoons,Tablespoon
Medium red capsicum thinly sliced,Sliced
Gherkins chopped,Gherkin 
Cornflour 4 tablespoons + for coating,Tablespoon
Small Prawns,Prawn
"Apple,pureed",Pureed
Ash gourd (petha),Petha
Medium carrot peeled and sliced,Peeled
Boneless Chicken Breasts cut into thick strips,Breast
Mutton masala,Masala
Peanuts curd,Curd
Mixed herbs fresh,Herb
Juice of 3 lemons,Juice
All Purpose Flour,Flour
Yellow chilli powder for sprinkling,For
Rose sherbet,Sherbet
Crabmeat canned,Canned
"Prawns (kolambi/jhinga) shelled, deveined",Shelled
Stock cubes,Cube
Surti papdi stringed and halved,Stringed
Paranthe to serve,Paranthe
Whipped cream (with sugar),Cream
Filo pastry sheets,Sheet
Carrot peeled and cut into dices,Peeled
Chicken legs skinned and halved,Skinned
Split field beans (val ki dal) soaked,Soaked
Dried cucumber seeds,Cucumber
Tea bags Earl Grey,Grey
filo pastry sheets,Sheet
Broccoli florets separated and blanched,Separated
Sago soaked in ¾ cup water overnight,Soaked
A pinch of nutmeg,P
Boneless Lamb,Lamb
A fresh red chilli flower,Flower
Tart shells half baked,Baked
ginger-garlic paste,Paste
Dry coconut (khopra) sliced,Sliced
ginger  chopped,Ginger 
Butter 1 tablespoon + 1 teaspoon +,Teaspoon
2-3 tablespoons chopped coriander leaves + for garnishing,Coriander
Icing sugar (230 grams),Gram
Black pepeprcorns,Pepeprcorns
Bhajiyas,Bhajiyas
Alfalfa sprouts for serving,Sprout
Semolina (suji / rava),Rava
Corn flour/ corn starch,Starch
Sweet Corn Kernels boiled,Boiled
"Boneless chicken thighs, minced",Minced
Pineapple cut into 1 ½ inch long pieces,Pineapple
Boneless Chicken Breast cut into 2 inch pieces,Breast
madras onions sliced,Sliced
"Split Bengal Gram, Split Red Lentils soaked",Split
Fresh coconut ½ cup +,Coconut
Celery chopepd,Chopepd
Fresh mozzarella cheese slices,Slice
Pear peeled and chopped,Peeled
Rampa/Pandanus leaves (optional),Rampapandanus
For Dip,For
Onion cut into 1 inch pieces,Onion
Star fruit,Fruit
Powdered sugsar,Sugsar
Club Sandwich-,Sandwich
Canned coconut milk,Milk
Crab shells,Shell
Cranberries soaked in warm water for 20 minutes,Cranberry
"Ginger,cut into thin strips",Ginger
Milk 2 1/2 cups + 1/4 cup,Milk  
White Radish,Radish
Chikkoos peeled and pureed,Peeled
Burnt garlic mayo:,Mayo
Juice of lemon,Juice
Refined flour (maida) 2½ cups + for dusting,Maida
Fresh strawberries hulled,Hulled
Large red capsicum cut into thin strips,Capsicum
Cornflour/ corn starch ¼ cup,Starch
Mutton boneless cut into 1 inch pieces,Boneless
Oregano dried,Dried
berries(ker),Ker
Unsweetened Cocoa Powder,Cocoa
Raw mango peeled and cut into 1 inch pieces,Peeled
Cherry Tomatoes,Tomato
Basa fish fillets cut into fingers,Fillet
"Walnuts California, toasted and finely ground",Toasted
"Fresh rosemary sprig, roughly chopped",Sprig
Peanuts Roasted and crushed,Roasted
Butter + olive oil,Oil
Fresh button mushrooms quartered,Quarte
Ginger 1 inch long,Ginger
piri piri powder,Piri
Spring onion greens blanched,Onion
split skinless black gram (dhuli urad dal),Split
Soda bicarbonate a large pinch,Bicarbonate
Egg whites (140 grams),Gram
Butter diced,Diced
Almonds blanched & peeled,Peeled
Noodles parboiled,Parboiled
Instant Noodles crushed coarsely,Crushed
Green apples peeled and chopped,Peeled
Red rice, rice
Broken wheat (dalia/lapsi) soaked for 15 minutes and drained,Soaked
Chopped Green Chilli,  chilli
Mutton On The Bone cut into 2 inch pieces on the bone,Mutton
butter melted,Melted
Lebanese spice powder,Spice
Oil 2 tablespoons + to deep fry,Tablespoon
Sour Yogurt,Yogurt
Broken walnuts,Walnut
Sesame paste (tahini),Paste
Bell peppers strips mixed,Mixed
Milk sweetened reduced,Sweetened
Black cardamom pods split,Split
Fresh coriander leaves 2 tablespoons +,Coriander
Whole green gram (sabut moong),Moong
Chavli leaves roughly chopped,Chavli
English muffins,Muffin
Pumpkin grated,Grated
Prawns (small) cooked,Small
fresh coriander leaves finely chopped,Coriander
Red pumpkin (kaddu) boiled and cut into cubes,Boiled
Boneless chicken cut into very thin strips,Chicken
Potato peeled and cut into small cubes,Peeled
"Large water melon peeled, seeded and cut into big cubes",Peeled
Boneless chicken grilled and shredded,Chicken
Fresh green garlic (hare lasun),Lasun
fresh parsley sprigs,Sprig
Watermelon seeds,Watermelon 
Medium onions pureed,Pureed
Crabs (claws),Claw
Potato peeled and cut into half,Peeled
"Kiwi roasted, peeled and roughly chopped",Peeled
Sprouted beans (ankurit moong),Moong
Ghee 2 tablespoon + for grasing,Tablespoon
dark Chocolate roughly chopped,Chocolate
Honey  for drizzling,Honey
Whole wheat buger buns,Bun
Gram flour roasted,Roasted
Veg Bolognese sauce,Sauce
1 flower made with fresh red chilli,Flower
"White sesame seeds roasted, 2 tablespoons + for sprinkling",Sesame
Masala pav,Pav
Punjabi garam masala powder,Masala
Fresh red chiullies finely chopped,Chiullies
"Fresh coriander leaves finely chopped, 1 teaspoon + for garnishing",Coriander
Tomato seeded and cut into triangles,Ed
Refined flour (maida) 1¾ cups,¾
Kabuli chana soaked for 6-7 hours,Soaked
Rice flour paste,Paste
White bread slices  toasted for serving,Toasted
Split pigeon pea (toor dal/arhar dal) soaked and drained,Split
Fresh coriander leaves Finely chopped,Coriander
Oil 1½ tbsps + for drizzling,Tbsps
Short crust dough,Dough
Butter 1 cup + 1,Butter 
Basa fish fillets cut into 2 inch pieces,Fillet
Garlic water  (garlic paste + water),Water
"Medium potatoes boiled, peeled, gratecd",Boiled
Red cabbage thinly shredded,Shded
Raisins dried,Dried
"Yam (suran)peeled, cut into cubes and boiled in water",Peeled
Mutton on bones pressure cooked,Cooked
Fish Malwani masala,Masala
Ripe mango peeled and cut into ½ inch cubes,Peeled
Split skinless black grams (dhuli urad dal) soaked for 4 hours,Split
2 tablespoons goda masala,Masala
Boneless chicken minced,Minced
Pickled jalapeno slices,Slice
Medium light green cucumber unpeeled,Light
Bombay Duck,Duck
Pineapples,Pineapple
Sweet potato grated,Grated
Lemon Wedges,Wedge
Red chilli powder 1/2 tsp + for sprinkling,Chilli
Pickled gherkin,Gherkin
Peaches peeled and roughly chopped,Peeled
Ginger and garlic paste,Ginger
"Cabbage small, finely shredded",Shded
Potatoes large wafer,Wafer
ginger + 3-4 green chillies ground into paste,Ground
Peach slices,Slice
Milk chocolate roughly chopped,Chocolate
Roasted cashewnuts chopped,Cashewnuts
"Beetroot boiled, peeled and puréed",Peeled
Split pigeon pea (toor dal/arhar dal) soaked for ½ hour,Split
Onion  cut into rings,Onion
Chocolate ganache warm,Warm
Paneer (cottage cheese) one inch thick fingers,Cheese
Screwpine water (kevda jal),Water
Pavs slit horizontally,Slit
Tamirind Pulp,Pulp
Tender coconut flesh (malai) finely chopped,Finely
cornstarch,Cornstarch
Babycorn diagonally sliced,Sliced
Cashewnuts ground,Ground
Potato Wafers,Wafer
Refined flour for dusting,Flour
multi dal chilla mix,Mix
Fenugreek seeds (methi dana) roasted and powdered,Roasted
Blanched green peas,Blanched
Millet flour (bajre ka atta) pearl,Pearl
Vinegar 1-2 tsps + 2 tbsps,Tbsps
Mik,Mik
Bun,Bun
Whole wheat flour (atta) dough for tortillas,Flour
Chicken cut into 1½ inch pieces,Chicken
micro greens for garnish,Micro
Jaggery grarted,Grarted
Split pigeon pea (toor dal/arhar dal) soaked and pressure cooked in 4 cups of water,Soaked
Whole green grams (sabut moong) soaked overnight and drained,Soaked
Fresh red chillies cut into thin strips,Chilli
Eggs bolied,Bolied
Amaranth microgreens,Micros
Boneless chicken cut into 1½ inch cubes,Chicken
Onion tomato masala,Masala
Vanilla ice cream 1 scoop +,Scoop
Bread crumbs pankao,Pankao
Spring onions with greens sliced diagonally,Sliced
Medium yellow capsicum thinly sliced,Sliced
Refined Flour 1 1/2 cups +,Flour
Paneer (cottage cheese) cut into ½ inch thick pieces,Cheese
Dried red chillies (bedgi) broken,Broken
For Masala,For
Peanuts soaked,Soaked
Ladyfingers (bhindi) finely chopped,Bhindi
Sweet and sour chutney,Chutney
Quinoa soaked for 15-20 minutes,Soaked
Oil deep fried,Fried
Jalapenos pickled and sliced,Pickled
"Khoya/mawa,grated",Grated
Amaranth seeds roasted,Roasted
Milk lukewarm,Milk
Sesame soy sauce,Sauce
Lotus Seeds,Lotus 
Thick salmon steak,Steak
"Samosa Dough made with 2 cups refined flour, ghee, carom seeds",Dough
Fresh oregano leaves,Oregano
Walnut kernels broken,Broken
Asparagus cut into 2 inch pieces and blanched,Asparagus
French loaf (baguette),Baguette
"Drumsticks peeled, cut into 1 1/2 inch pieces and boiled",Peeled
Moong Dal Papad,Papad
Edible chandan powder,Chandan
Boneless fish fillets halved,Halved
Butter for spreading and greasing,Butter
Jumbo prawns shelled and deveined with tail intact,Intact
Pear chopped,Pear 
Paneer tikka cubes,Cube
Dark Chocolate  chopped,Chocolate
"Crabs cleaned, unshelled with abdomen and claws",Cleaned
Jalapenos seeded and finely chopped,Ed
Split Bengal gram (chana dal) boiled,Split
Melted dark chocolatec,Melted
Khichia papads,Papads
Olive oil 1/4 cup + 4-5 tablespoons,Oil
Medium prawns  shelled and deveined,Prawn
Mutton fat,Fat
Medium beetroot washed,Washed
Split skinless pigeon pea (toor dal) soaked for 10-15 minutes and drained,Split
Medium red apple,Medium
"coriander leaves chopped, 2 tsps +",Tsps
6-8 cloves,Clove
sesame oil,Oil
"Prawns (kolambi/jhinga) shelled, deveined and washed",Shelled
Large onion quartered,Quarte
Ginger 1 inch piece,Ginger  
Oil 3 tbsps + for deep-frying,Tbsps
Kasundi mustard paste,Paste
Milk condensed,Condensed
Mutton cut into small pieces on the bone,Mutton
Medium cucumbers peeled,Peeled
Tata Sampann Turmeric Powder,Turmeric
Beetroot peeled and grated,Peeled
Broken Wheat soaked,Soaked
Wheat Flour kneaded into dough,Kneaded
Espresso  single shot,Shot
Yellow bell pepper cut into ½ cm pieces,Pepper
Grated dark chocolate,Chocolate
Thick pressed rice (jada poha / mota chiwda)  soaked in water for 2-3 minutes and strained,Chiwda
Spinach leaves large bunch,Bunch
Cucumber seeded finely chopped,Ed
Cashewnuts quartered,Quarte
Medium potatoes peeled and thickly sliced,Potato
Spring onion grated,Grated
Mixed bell pepper strips,Strip
"potatoes medium,  cut into 1 inch cubes",Medium
Tomato ketchup for spreading,Ketchup
Oil ½ tablespoon,Oil
Sprouted green gram,Sprouted
Fresh Breadcrumbs,Breadcrumb
Tamarind leaves washed,Washed
Parboiled rice (ukda chawal) soaked for 4 hours,Soaked
Tinned chestnuts,Chestnut
Cottage Cheese boiled,Cheese
Peanuts (kadale) roasted,Roasted
coriander seeds,Coriander 
Chopped fresh mint leaves,Mint
Mutton kidney fat chopped,Fat
Cheese lings,Ling
Fried papads crushed,Crushed
"Potatoes medium, peeled, cut into medium sized cubes  and s",Peeled
Ragi cookies,Cooky
Pita breads mini,Mini
Prawns (medium)  dried,Medium
Raw mangoes peeled cut into wedges,Peeled
Large sweet potatoes,Potato
Edible gold colour,Colour
Cottage cheese (paneer) cut into big cubes,Paneer
Green chillies cut into small pieces,Chilli
olive oil for drizzling,Oil
Cooked Basmati rice,Cooked
Lachcha parantha,Lachcha
Rice (chawal) soaked for 1/2 hour and drained,Soaked
Red garlic chutney,Chutney
Turnip,Turnip
"Carrot small,cut into small diamonds",Small
Sesame seeds (black) 1 tablespoon +,Tablespoon
Jalapenos	chopped,Jalapeno 
Baby potatoes parboiled,Parboiled
Salsa sauce,Sauce
Capsicums cut into dices,Capsicum
Strawberries cubed,Cubed
Cashewnuts blanched and chopped,Blanched
Fruits,Fruit
Fried shredded spinach leaves,Spinach
Dried pomegranate seeds crushed,Crushed
Black Bengal gram soaked for 5-6 hours and pressure cooked with salt,Gram
Long brinjals thin,Thin
Golden apricots chopped,Apricot
Molasses,Molasses
Cookie pieces,Cookie 
Bengal gram roasted,Roasted
Phyllo sheets,Sheet
Fresh mint leaves 2 tablespoons roughly chopped + a sprig for garnis,Mint
fesh thyme sprigs,Sprig
Mixed nuts powder,Nut
fruit salt,Salt
Soya mince,Mince
Green chili paste,Paste
"Potato boiled,peeled and mashed",Peeled
Carrot peeled and cubed,Peeled
Dried coconut (khopra) thinly sliced,Sliced
Small piece of coal,Small
Red pumpkin peeled and cut into 1 inch pieces,Peeled
Cashew Nuts chopped,Nut
"Lentils whole brown, soaked for 8 hours and drained",Soaked
Shiitake mushrooms soaked in 1 cup water and quartered,Mushroom
Large onions cut into round slices and layers separated,Separated
Dried red chillies seeded and crushed,Dried
Rice Noodles 4 inches each,Noodle
Fresh thyme sprigs chopped,Sprig
Bulgur wheat soaked and drained,Soaked
Saffron milk Gin,Gin
Honey Crushed,Crushed
Red chilli Powder, chilli 
"Custard apples (sitaphal/sharifa) ripe, seeded and pulp removed",Removed
Black peppercorns roasted,Roasted
Sweet potatoes washed,Washed
Round red chillies,Round
Prawns (medium) deveined and butterfly cut with shells intact,Deveined
Chinese rice vinegar,Vinegar
Masoor dal soaked,Soaked
Chopped pistachios, pistachio
Red pumpkin peeled and sliced,Peeled
Ground Almonds,Almond
Fried basil leaves,Basil
"Capsicum curls, a few",Curl
Spinach leaves (palak) hand torn,Torn
sweet corn kernels boiled and crushed,Kernel
tomato concasse,Concasse
Olive oil for grilling + 3,Oil
Grilled chicken cut into cubes,Chicken
Pears peeled and cut into wedges,Peeled
Oil for greasing + for grilling,Oil
Walnuts toasted and crushed,Toasted
Potatoes peeled and cut into small pieces,Peeled
Lassi,Lassi
Green capsicum 1 cm cubes,Cube
SauteedVegetables,Sauteedvegetables
Chickepeas soaked and boiled,Soaked
"Ginger, grated",Grated
Rosemary 6-8 fresh +,Rosemary
Fruit buns,Bun
Large brinjal,Brinjal
Strawberry slices,Slice
Potatoes peeled and quartered,Peeled
Split skinless red lentil (masoor dal) soaked for 10-15 minutes and drained,Split
Dried red chillies chopped,Dried
"Cauliflower separated into florets and blanched,",Separated
Red bell pepper halved and deseeded,Halved
Toasted sesame seeds (til),Til
Catechu (katha),Katha
Walnuts  halved + broken walnuts for garnishing,Halved
Oil of sunflower,Oil
"Green chutney (ground fresh coriander, ginger, green chillies an",Ground
Cornflakes  crushed,Crushed
Peri peri masala powder,Masala
"Chilled butter chopped,",Butter
Sugarcane vinegar,Vinegar
Spinach cleaned and stems removed,Cleaned
Onion wedge,Wedge
Potato quartered and sliced,Quarte
Brown hot dog buns slit without cutting through,Slit
Madras onions halved,Halved
Chicken stock cube crushed,Crushed
"1 large onion, finely chopped",Onion
